time,price
2017-10-05 10:12:02,4155.07
2017-10-05 10:16:01,4151.64
2017-10-05 10:20:01,4178.98
2017-10-05 10:24:02,4152.79
2017-10-05 10:28:01,4152.26
2017-10-05 10:32:01,4150.76
2017-10-05 10:36:02,4151.73
2017-10-05 10:40:02,4147.45
2017-10-05 10:44:02,4168.66
2017-10-05 10:48:01,4165.69
2017-10-05 10:52:01,4165.97
2017-10-05 10:56:01,4165.97
2017-10-05 11:00:01,4144.24
2017-10-05 11:04:02,4164.05
2017-10-05 11:08:02,4157.45
2017-10-05 11:12:02,4157.33
2017-10-05 11:16:01,4158.2
2017-10-05 11:20:01,4157.3
2017-10-05 11:24:02,4176.09
2017-10-05 11:28:01,4178.93
2017-10-05 11:32:02,4177.39
2017-10-05 11:36:01,4187.31
2017-10-05 11:40:01,4186.57
2017-10-05 11:44:03,4202.9
2017-10-05 11:48:02,4201.59
2017-10-05 11:52:01,4203.01
2017-10-05 11:56:02,4212.08
2017-10-05 12:00:02,4212.08
2017-10-05 12:04:05,4220.73
2017-10-05 12:08:01,4228.99
2017-10-05 12:12:01,4229.38
2017-10-05 12:16:02,4227.79
2017-10-05 12:20:01,4237.41
2017-10-05 12:24:03,4239.76
2017-10-05 12:28:01,4241.85
2017-10-05 12:32:02,4248.48
2017-10-05 12:36:03,4250.11
2017-10-05 12:40:01,4231.28
2017-10-05 12:44:05,4245.33
2017-10-05 12:48:03,4244.27
2017-10-05 12:52:02,4237.7
2017-10-05 12:56:01,4241.27
2017-10-05 13:00:01,4242.7
2017-10-05 13:04:01,4245.63
2017-10-05 13:08:02,4247.52
2017-10-05 13:12:02,4249.01
2017-10-05 13:16:02,4254.97
2017-10-05 13:20:02,4245.12
2017-10-05 13:24:02,4255.67
2017-10-05 13:28:03,4255.93
2017-10-05 13:32:01,4246.59
2017-10-05 13:36:01,4255.6
2017-10-05 13:40:02,4244.04
2017-10-05 13:44:01,4240.64
2017-10-05 13:48:01,4241.35
2017-10-05 13:52:02,4253.35
2017-10-05 13:56:01,4239.17
2017-10-05 14:00:02,4240.89
2017-10-05 14:04:01,4265.52
2017-10-05 14:08:02,4275.04
2017-10-05 14:12:02,4282.64
2017-10-05 14:16:01,4269.84
2017-10-05 14:20:03,4306.68
2017-10-05 14:24:03,4295.87
2017-10-05 14:28:03,4302.31
2017-10-05 14:32:01,4304.96
2017-10-05 14:36:01,4300.69
2017-10-05 14:40:02,4296.8
2017-10-05 14:44:02,4311.53
2017-10-05 14:48:01,4316.63
2017-10-05 14:52:03,4312.96
2017-10-05 14:56:01,4319.52
2017-10-05 15:00:02,4321.98
2017-10-05 15:04:01,4314.02
2017-10-05 15:08:02,4320.67
2017-10-05 15:12:01,4313.36
2017-10-05 15:16:01,4307.64
2017-10-05 15:20:03,4300.84
2017-10-05 15:24:02,4300.2
2017-10-05 15:28:02,4303.95
